53874382,/shop/53874382,Alan Wong’s Shanghai,605,上海餐厅,静安寺,西餐,,021-62890618 ,五星商户,8.8,9.1,9.2,酱汁牛肋 coconut 鹿儿岛长尾红鲷鱼 慢煮龙虾 黄油慢煮缅因州龙虾 Poke 澳洲神户和牛 Da Bag 番茄冷汤配鹅肝三明治 金枪鱼色拉 Okinawa Sunrise Maitai Miso Cod 餐前面包 鹅肝慕斯 伊比利亚黑毛猪排 椰子冰淇淋 冰淇淋甜甜圈 lobster roll Fruit mojito Soup and Sandwich 超豪华海鲜午餐 甜品 椰子雪糕 Beef Carpaccio Miss shanghai Twice Cooed ShortRib 鳕鱼鹅肝鳗鱼 例汤 海鲜拼盘 猪肉芹菜饺子 mini coconut 前菜海鲜拼盘 鲷鱼刺身配紫苏乌梅酱汁 Seafood Tomato Broth Dark Side of Pudong 夏威夷脆皮椰子冰淇淋 牛小排 翡翠沙冷 奶油龙虾汤 烤菌菇,4,6,51,185,340
67672216,/shop/67672216,蝶舍·MAISON PAPILLON,445,上海餐厅,静安寺,西餐,,021-62598235 ,准五星商户,8.7,8.9,9.0,有机温泉蛋 惠灵顿 餐前面包 香煎海鲈鱼 香煎扇贝 和牛肉眼排 南瓜汤 蘑菇汤 法式鹅肝奶油面 猫耳朵面 茉莉花奶冻 海鲜色拉 烤南瓜汤 安格斯西冷牛排 玉米浓汤 黑松露烩饭 澳洲安格斯牛里脊配土豆泥 伊比利亚火腿色拉 法式鹅肝宽面 西冷羊排 大西洋比目鱼配朝鲜蓟芦笋 无花果塔塔 香烤日本有机南瓜汤 冰激凌布朗尼 M西冷牛排 草莓蛋糕 牛油果蟹肉色拉配鲟鱼子酱 提拉米苏 主厨甜点 松露温泉蛋 冰淇淋 卡布奇诺 烘烤智利谷饲火鸡 红酒煮梨 香煎扇贝藏红花烩饭 低温扇贝配红菜头 前菜黑松露 香煎鹅肝 沙拉 草莓慕斯配香草冰淇淋,25,35,158,633,1046
6110204,/shop/6110204,海底捞火锅,132,上海餐厅,徐家汇,火锅,,021-64188837 021-64185337,五星商户,9.0,9.0,9.2,虾滑 番茄锅 滑牛肉 牛肉 翡翠墨鱼滑 羊肉 鸳鸯锅底 功夫面 肥牛 鸭肠 金针菇 三鲜锅底 毛肚 猪脑 魔芋丝 冻豆腐 黄喉 鱼豆腐 午餐肉 热情洋溢的服务员 捞派羊肉卷 鱼片 虾丸 酥肉 鸭血 鱿鱼须 豆花海鲜锅 自助水果 血旺 蟹肉棒 酸梅汤+柠檬水 澳洲肥牛 番茄鸳鸯锅 免费酱料 特级肥牛 娃娃菜 炸豆皮 土豆 山药 捞派毛肚,115,80,450,1933,3540
15857909,/shop/15857909,海底捞火锅,132,上海餐厅,塘桥,火锅,,021-68783037 021-68783513,五星商户,9.1,9.1,9.3,虾滑 番茄火锅 功夫面 半份菜 澳洲雪花和牛 调料 巴沙鱼片 翡翠墨鱼滑 滑牛肉 鸳鸯火锅 特制羊肉 鸭肠 手切羊肉 牛肉 猪脑 油条虾 菌菇锅底 虾球 蟹墨鱼丸 鸭血 毛肚 安格斯肥牛 肥牛 豆花 生菜 香菇 鹌鹑蛋 捞派嫩滑牛 血旺 冻豆腐 鹅肠 四宫格锅底 番茄鸳鸯锅底 蟹肉棒 午餐肉 酥肉 骨头锅底 黄喉 山药 扇贝,52,41,157,611,1760
65610789,/shop/65610789,司厨,99,上海餐厅,淮海路,其他,,021-53863017 ,准五星商户,8.7,8.3,9.0,去骨鸡爪 蒸汽锅鸡 美蛙鱼头 川香黑凤爪 蕃茄牛腩饭 老醋海蜇头 牛蛙土鸡汽锅 柠檬红茶 原味蒸汽鸡 司厨肉米饭 海蜇头 蒜蓉开背虾 牛肉酱意粉 蒸汽龙虾 鱼羊鲜 蒸汽土鸡拼虾 招牌毛豆 剁椒鸦片鱼头 鸦片鱼头 蒸汽海鲜锅 鱼头土鸡牛蛙(鸦片鱼) 卤肉饭套餐 红咖喱土豆牛肉饭 哈尔滨香肠 牛蛙拼虾 王牌卤肉卤蛋饭 一口茄 澳带 蒜蓉粉絲娃娃菜 牛蛙虾双拼蒸锅 刀板香 蒸汽素菜锅 小龙虾 卤肉饭 松茸玉米排骨汤 牛肉汉堡套餐 印尼炒饭套餐 智美系列 绿咖喱鸡肉蔬菜饭 招牌柠檬红茶,8,11,69,225,546
65594079,/shop/65594079,黄门熊猫老灶火锅,174,上海餐厅,中山公园,火锅,,021-62051069 ,五星商户,9.0,9.0,8.9,鸳鸯锅 黄门三宝 空运黄喉 重庆酥肉 美蛙 生态菇类 和牛拼盘 鸭血 生态蔬菜之豆苗 空运鹅肠 空运牛肚 红糖糍粑 蛋液腰花 和牛 老鸭汤 毛肚 蝦滑 竹荪 冻豆腐 西冷牛肉拼盘 秘制牛蛙 蛋饺 生态菌菇 黄门秘制红汤锅 牛蛙 安格斯脊椎牛肉？ 牛百叶 菇类拼盆 虾丸 鸭肠 黄喉 鲜毛肚 土鸡鸳鸯锅 霖肉 牛肉 牛舌 腰片 牛肉拼盘 豆苗 肥肠,78,44,193,740,1986
76848692,/shop/76848692,花隐日式怀石料理,354,上海餐厅,上南地区,日本菜,,021-31583120 021-31583119,准五星商户,8.9,9.2,8.8,鹅肝 石锅松露牛肉汤 牛小排 香煎比目鱼色拉 牛尾汤 牛舌 小羊排 榴莲慕斯 海胆 鳗鱼 原盅鲑鱼炊饭 酸乳酪 和风薄切生牛肉沙拉 甜虾 鳕鱼 牛肉汤 柠檬紫罗兰沙瓦 海鲜土瓶蒸 牡丹鲑鱼腩佐牛油果慕斯 海鲜色拉 刺身荟萃 煎茶香烤小羊排 雪山酸乳酪布蕾 霜降牛小排 樱之恋鲜果慕斯 鸡汤 臻尝刺身荟萃 辛口鳕鱼西京烧 大刺身拼盘 和风薄切生牛 鹅肝佐慕斯 骰子牛舌朴叶烧 抹茶红豆冰 梅酱傲娇烤猪排 富士山椰香醇品咖啡 一番鸡汤佐晶冻 竹隐热咖啡 鲜鲍岩板烧 樱恋鲜果慕斯 白味增鳗鱼,11,3,15,78,1498
68942918,/shop/68942918,王妃家,128,上海餐厅,中山公园,韩国料理,,021-68321717 ,准五星商户,8.7,8.8,9.1,牛舌 酱牛排 黑毛猪五花 原味牛排 雪花牛肉 调味牛排 调味牛舌 海鲜葱饼 酱猪排 海鲜泡菜饼 参鸡汤 海鲜饼 猪五花肉 小菜 土豆饼 炒年糕 大酱汤 猪颈肉 炸酱面 泡菜辛拉面 石锅拌饭 鸡蛋羹 牛五花 猪皮 芝士炒年糕 冷面 炒杂菜 五花肉 炒什锦 鲍鱼参鸡汤 泡菜冷面 海鲜嫩豆腐汤 章鱼石锅拌饭 泡菜饼 豬肉泡菜湯 冷麵 铁板鱿鱼 牛肉豆腐汤 菠萝菌菇拼盘 la牛排,13,17,104,831,4088
76678586,/shop/76678586,誉八仙茶室酒楼,334,上海餐厅,新天地,粤菜,,021-63731888 ,准五星商户,8.4,9.2,9.0,鱼翅灌汤饺 凤城虾多士 黑毛猪叉烧 杨枝甘露 烧鹅 脆皮炸鲜奶 桂花乳鸽 黑蒜带子饺 和牛鹅肝炒饭 陈皮红豆沙 凤爪 腊味萝卜糕 鲜虾肠粉 无骨鸭舌 当红炸子鸡 马拉糕 花胶炖响螺汤 糯米鸡 乳鸽 叉燒酥 鲍鱼蒸烧卖 咸水饺 粉丝龙虾煲 燕窝蛋挞 炸脆奶 百花酿鱼肚 朱润烧卖 四宝滑鸡扎 虾酱芥蓝 叉烧酥 带子饺 松露素爆鹅 柴鱼花生粥 叉烧肠粉 杏汁炖花胶汤 鲜榴莲奶冻 桂花乳鸽皇 韭黄虾春卷 誉八仙虾饺 烧鹅（半只）,25,20,76,276,465
23436398,/shop/23436398,橘焱胡同烧肉夜食,342,上海餐厅,淮海路,日本菜,,021-64737525 ,五星商户,9.2,9.0,9.1,墨魚香腸 蟹膏生干贝 雪龙牛舌 山药明太子烧 达拉斯 扇子肉 员工饭 厚切牛小排 松阪猪 奶油起士地瓜 角切牛舌 烤肉酱牛小排 板腱肉 草虾 牛肋条 菲力 冰卷 奶油芝士地瓜 肋眼牛排 雪龙角切牛舌 厚片牛舌 大肠头 奶油雞腿肉 松阪豬 猪脑 鸡腿肉 烤肉醬牛小排 杏鲍菇 鲑鱼茶渍饭 烤饭团 牛舌 冰沙啤酒 澎湖冰卷 掌中宝 山药 盐烤秋葵 猪舌软骨 蟹脚 員工飯 牛小排,28,14,75,476,1595
